Assignment ID,Attempt ID,Hint ID,Hint Number,Timing,Relevance,Correctness,Interpretability,Quality,Time,Followed,View Duration,Pause Before Edit,Hint Use Label,Total Hints Requested,Total Hints Followed
polygonMakerLab,7c4d8b94-36e3-466f-a5d0-1d69ded2c040,88632,1,Start,3,3,2,8,1.47E+12,FALSE,3,302,1,1,0
polygonMakerLab,86879778-90cc-4d4e-8648-52064cb8aa3e,80702,1,Mid,1,1,2,4,1.47E+12,FALSE,12,25,1,1,0
polygonMakerLab,8f20fe6f-4831-4666-bdc4-ff5d77483484,146562,1,Late,3,3,3,9,1.47E+12,TRUE,18,24,3,5,3
polygonMakerLab,a4c447b1-20dc-4cdd-aefb-bd5abc566ba3,120954,1,Mid,3,3,3,9,1.47E+12,FALSE,22,13,2,2,0
polygonMakerLab,b15bace5-74b5-4b0e-9592-e541c47b8678,88634,1,Start,3,2,2,7,1.47E+12,FALSE,4,5,1,1,0
polygonMakerLab,c06f79ad-8a21-4a8d-989e-c42bd0ab0f46,144633,1,Mid,3,3,3,9,1.47E+12,FALSE,3,36,3,13,5
squiralHW,0caddeec-8745-4996-a775-b85d6f9da818,169679,1,Mid,2,2,1,5,1.47E+12,FALSE,14,126,1,1,0
squiralHW,1f2f02dc-a94b-47cd-a165-301518eaa625,157065,1,Start,3,1,1,5,1.47E+12,TRUE,5,17,3,16,12
squiralHW,2cc7bb77-aae2-465a-bbb9-afabcf3c2b3f,166145,1,Early,3,3,3,9,1.47E+12,FALSE,10,17,3,18,10
squiralHW,308e9a37-8630-481c-b983-d1803f5b83ee,171791,1,Early,2,3,2,7,1.47E+12,FALSE,3,51,2,3,0
squiralHW,368d6485-c162-4984-b1f5-a33f2abe1034,167072,1,Early,2,3,3,8,1.47E+12,FALSE,2,8,3,22,10
squiralHW,3bf3850c-e95d-4f3d-a114-8e6082a7397b,170596,1,Start,3,3,2,8,1.47E+12,FALSE,2,17,3,21,9
squiralHW,423d2f55-ff4c-445f-8d78-729abadd0abd,171311,1,Early,2,3,2,7,1.47E+12,FALSE,10,135,1,1,0
squiralHW,5273ed64-1463-47f4-b2f0-5e54edd39819,163755,1,Mid,1,1,1,3,1.47E+12,FALSE,5,17,1,1,0
squiralHW,594feefd-3dd0-4573-9162-3872621cde12,180915,1,Mid,2,2,1,5,1.47E+12,TRUE,30,32,2,14,8
squiralHW,635f87ad-01db-462c-a9ff-77b55b731e9e,175465,1,Mid,1,2,1,4,1.47E+12,FALSE,15,21,2,2,0
squiralHW,7d4e69e8-025c-4940-9b44-9245586eafaa,180316,1,Start,3,3,2,8,1.47E+12,TRUE,2,7,2,14,9
squiralHW,9cdd1d3b-22bc-463e-8236-5c7dcd8e6be0,177351,1,Start,2,3,2,7,1.47E+12,TRUE,4,25,3,18,11
squiralHW,9f948c6e-0023-4726-9eea-732b4276cd44,125928,1,Mid,3,3,2,8,1.47E+12,FALSE,11,24,2,10,2
squiralHW,ad83bc71-54e8-481f-9f6e-43cd0fa75147,161704,1,Early,3,3,3,9,1.47E+12,FALSE,2,63,1,1,0
squiralHW,d5b8c11c-a4cb-49ae-bcaf-2b92e9e7c330,177619,1,Start,3,3,2,8,1.47E+12,FALSE,2,79,2,2,0
squiralHW,dd7e1cd5-c889-4cdf-a54d-e9eb35c3b197,167746,1,Late,2,2,1,5,1.47E+12,FALSE,29,31,1,1,0
squiralHW,e4aaeb62-cc56-429d-a2d8-d853fcc8251d,181447,1,Start,3,3,2,8,1.47E+12,FALSE,21,22,1,1,0
squiralHW,fa8659b2-4a53-4f8f-82e8-29c527dc3672,157727,1,Mid,3,3,2,8,1.47E+12,FALSE,6,7,2,12,4
guess1Lab,03034c52-2f8f-4ed6-b3eb-6aa45663c17c,235110,2,Mid,3,3,3,9,1.47E+12,TRUE,8,13,1,2,2
guess1Lab,06bd0428-5964-42f1-b669-e9b4404f4521,190087,2,Early,2,1,1,4,1.47E+12,FALSE,5,35,2,4,1
guess1Lab,0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc,234559,2,Mid,1,2,1,4,1.47E+12,FALSE,5,6,2,10,2
guess1Lab,20c14fc3-65ac-490a-9c35-0cf7c07c0541,233072,2,Early,2,3,2,7,1.47E+12,TRUE,4,8,3,23,16
guess1Lab,34898f7f-6aa6-454b-b2b8-a02b839997e6,233089,2,Early,3,3,2,8,1.47E+12,TRUE,2,10,2,11,8
guess1Lab,3ae58700-4575-4bbe-af81-579f02460c8e,195001,2,Early,1,1,1,3,1.47E+12,FALSE,6,10,1,3,0
guess1Lab,7e3cc0c3-b245-4c5d-9a12-dae61b2b0924,194230,2,Early,1,2,1,4,1.47E+12,FALSE,31,39,1,2,1
guess1Lab,821f7bb0-6b64-4e8e-bb1a-fd35f0ff696c,204927,2,Early,1,2,1,4,1.47E+12,FALSE,4,30,2,5,0
guess1Lab,82531825-e32b-4f71-a67f-0cb51affe831,236973,2,Start,3,3,3,9,1.47E+12,TRUE,7,5,3,16,10
guess1Lab,92ce1f93-3392-4f5b-a111-c17bac56aee0,233183,2,Early,3,3,3,9,1.47E+12,TRUE,11,9,3,28,23
guess1Lab,d1a3f3ad-c3f0-4c34-99fc-3abb11725ba7,201071,2,Early,2,3,3,8,1.47E+12,FALSE,11,25,3,24,20
guess2HW,0bcfe2c5-c49c-4182-9d1e-ba6f8327d6fc,251937,2,Early,3,3,2,8,1.47E+12,FALSE,3,8,3,26,4
guess2HW,0d8728ce-3b1c-4822-8fa5-4615b03b9583,208036,2,Mid,2,3,2,7,1.47E+12,FALSE,1,21,1,2,1
guess2HW,0ef06541-c5a7-4ef0-bd50-0fc954687bb2,206573,2,Early,1,1,1,3,1.47E+12,FALSE,7,73,3,68,7
guess2HW,2a441e32-5a99-4f7b-ab06-1ee8b9e202e4,256702,2,Early,3,3,3,9,1.47E+12,FALSE,8,22,3,34,15
guess2HW,2dee797a-5367-4acb-b459-e79dae895bd6,248505,2,Mid,2,2,2,6,1.47E+12,FALSE,11,499,1,2,0
guess2HW,43202e42-74d7-4ed8-bbc1-0b2a40669aeb,257991,2,Early,2,3,3,8,1.47E+12,FALSE,18,45,2,20,6
guess2HW,847e6dcc-8e8b-4894-9b14-bf46d0618e75,222171,2,Early,3,3,2,8,1.47E+12,TRUE,20,17,2,18,9
guess2HW,b1780cf7-a738-4872-9acf-ad2ec63d80b7,246804,2,Mid,2,1,1,4,1.47E+12,FALSE,12,41,3,25,2
guess2HW,b9806d79-48f4-4b2a-8ef6-82aa7628c0dd,256448,2,Mid,1,1,1,3,1.47E+12,FALSE,5,124,1,2,0
guess2HW,c0abbe0d-5694-4a98-9b97-d417a3e7fcea,226487,2,Mid,1,1,1,3,1.47E+12,FALSE,15,46,1,2,0
polygonMakerLab,09d46e72-14e5-4976-94ca-bd2f308e306e,81884,2,Start,3,3,3,9,1.47E+12,FALSE,8,12,3,17,7
polygonMakerLab,1c07dbfc-8469-418a-b99e-48d8477e5985,88654,2,Start,3,3,3,9,1.47E+12,TRUE,5,33,2,2,1
polygonMakerLab,305c0726-50fe-4780-879f-97abb8f3397d,149216,2,Early,1,2,1,4,1.47E+12,FALSE,9,35,3,8,4
polygonMakerLab,8f20fe6f-4831-4666-bdc4-ff5d77483484,146660,2,Late,3,3,3,9,1.47E+12,FALSE,4,23,3,5,3
polygonMakerLab,a4c447b1-20dc-4cdd-aefb-bd5abc566ba3,121919,2,Late,1,2,2,5,1.47E+12,FALSE,1,17,2,2,0
polygonMakerLab,c06f79ad-8a21-4a8d-989e-c42bd0ab0f46,144703,2,Mid,3,3,3,9,1.47E+12,FALSE,9,19,3,13,5
squiralHW,1f2f02dc-a94b-47cd-a165-301518eaa625,157083,2,Start,3,3,2,8,1.47E+12,TRUE,5,26,3,16,12
squiralHW,2cc7bb77-aae2-465a-bbb9-afabcf3c2b3f,166156,2,Early,3,3,3,9,1.47E+12,TRUE,3,14,3,18,10
squiralHW,308e9a37-8630-481c-b983-d1803f5b83ee,171800,2,Early,2,3,2,7,1.47E+12,FALSE,12,42,2,3,0
squiralHW,368d6485-c162-4984-b1f5-a33f2abe1034,167068,2,Early,3,3,2,8,1.47E+12,FALSE,8,17,3,22,10
squiralHW,3bf3850c-e95d-4f3d-a114-8e6082a7397b,170592,2,Start,2,3,2,7,1.47E+12,FALSE,4,22,3,21,9
squiralHW,594feefd-3dd0-4573-9162-3872621cde12,180929,2,Mid,3,3,2,8,1.47E+12,FALSE,25,39,2,14,8
squiralHW,635f87ad-01db-462c-a9ff-77b55b731e9e,175774,2,Late,1,1,1,3,1.47E+12,FALSE,7,19,2,2,0
squiralHW,7d4e69e8-025c-4940-9b44-9245586eafaa,180312,2,Start,3,3,2,8,1.47E+12,TRUE,2,10,2,14,9
squiralHW,9cdd1d3b-22bc-463e-8236-5c7dcd8e6be0,177360,2,Start,3,3,2,8,1.47E+12,TRUE,3,37,3,18,11
squiralHW,9f948c6e-0023-4726-9eea-732b4276cd44,126491,2,Mid,3,3,3,9,1.47E+12,TRUE,7,26,2,10,2
squiralHW,d5b8c11c-a4cb-49ae-bcaf-2b92e9e7c330,177595,2,Start,2,3,2,7,1.47E+12,FALSE,4,89,2,2,0
squiralHW,fa8659b2-4a53-4f8f-82e8-29c527dc3672,164048,2,Mid,2,3,3,8,1.47E+12,TRUE,42,63,2,12,4
